电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
穿条纹睡衣的男孩, 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 A, 阿萨·巴特菲尔德 A,,2008,剧情 战争,9.2,,"
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
"
情书, 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Et, 中山美穗 Miho Nakayama / 丰川悦司 Et,,1995,剧情 爱情,8.9,,
两杆大烟枪, 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Ja, 杰森·弗莱明 Ja,,1998,剧情 喜剧 犯罪,9.1,,
窃听风暴, 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donner,,,2006,剧情 悬疑,9.2,,"
别样人生。
"
哈利·波特与死亡圣器(下), 大卫·叶茨 David Yate, 丹尼尔·雷德克里夫 Daniel Radcliffe...,,2011,奇幻 冒险,9.0,,"
10年的完美句点。
"
音乐之声, 罗伯特·怀斯 Robert Wi, 朱莉·安德鲁斯 Julie Andrew,,1965,剧情 传记 爱情 歌舞,9.1,,
西西里的美丽传说, 朱塞佩·托纳多雷 Giu, 莫妮卡·贝鲁奇 Monica ...,,2000,剧情 战争 情色,8.9,,
功夫, 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ..., 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,,2004,动作 喜剧 犯罪 奇幻,8.9,,"
警恶惩奸，维护世界和平这个任务就交给你了，好吗？
"
阿凡达, 詹姆斯·卡梅隆 Jame, 萨姆·沃辛顿 Sam Worthington ...,,2009,动作 科幻 冒险,8.8,,"
绝对意义上的美轮美奂。
"
哈利·波特与阿兹卡班的囚徒, 阿方索·卡隆 Alfon, 丹尼尔·雷德克里夫 Daniel Rad...,,2004,奇幻 冒险,9.0,,"
不一样的导演，不一样的哈利·波特。
"
看不见的客人, 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Ca, 马里奥·卡萨斯 Mario Ca,,2016,剧情 犯罪 悬疑 惊悚,8.8,,"
你以为你以为的就是你以为的。
"
拯救大兵瑞恩, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hank, 汤姆·汉克斯 Tom Hank,,1998,剧情 战争,9.1,,
沉默的羔羊, 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Fo, 朱迪·福斯特 Jodie Fo,,1991,剧情 犯罪 惊悚,8.9,,
小鞋子, 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma..., 默罕默德·阿米尔·纳吉 Mohamma...,,1997,剧情 儿童 家庭,9.2,,
飞越疯人院, 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichol, 杰克·尼科尔森 Jack Nichol,,1975,剧情,9.1,,
布达佩斯大饭店, 韦斯·安德森 We, 拉尔夫·费因斯 Ralph Fienne,,2014,剧情 喜剧 冒险,8.9,,"
小清新的故事里注入了大历史的情怀。
"
蝴蝶效应, 埃里克·布雷斯 Eric Bre,,,2004,剧情 悬疑 科幻 惊悚,8.9,,"
人的命运被自己瞬间的抉择改变。
"
禁闭岛, Martin Scor, 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,,2010,剧情 悬疑 惊悚,8.9,,"
昔日翩翩少年，今日大腹便便。
"
致命魔术, 克里斯托弗·诺兰 Chri, 休·杰克曼 Hugh Jackman...,,2006,剧情 悬疑 惊悚,8.9,,"
孪生蝙蝠侠大战克隆金刚狼。
"
心灵捕手, 格斯·范·桑特 Gu, 马特·达蒙 Matt Damon / 罗宾·...,,1997,剧情,9.0,,
低俗小说, 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra..., 约翰·特拉沃尔塔 John Tra...,,1994,剧情 喜剧 犯罪,8.9,,
超脱, 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西..., 艾德里安·布洛迪 Adrien Brody / 马西...,,2011,剧情,9.0,,"
穷尽一生，我们要学会的，不过是彼此拥抱。
"
哈利·波特与密室, Chri, 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,,2002,奇幻 冒险,8.9,,
摩登时代, 查理·卓别林 Charle, 查理·卓别林 Charle,,1936,剧情 喜剧 爱情,9.3,,
喜剧之王, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch..., 周星驰 Stephen Ch...,,1999,喜剧 剧情 爱情,8.8,,
杀人回忆, 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun..., 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,,2003,剧情 动作 犯罪 悬疑 惊悚,8.9,,
致命ID, 詹姆斯·曼高德 Jame, 约翰·库萨克 John Cu,,2003,剧情 悬疑 惊悚,8.9,,
春光乍泄, 王家卫 Kar Wai Wong   主演: 张国荣 Le, 张国荣 Le,,1997,剧情 爱情 同性,9.0,,
一一, 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai..., 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,,2000,剧情 爱情 家庭,9.1,,
海豚湾, 路易·西霍尤斯 Louie P, 路易·西霍尤斯 Louie P,,2009,纪录片,9.3,,"
海豚的微笑，是世界上最高明的伪装。
"
美国往事, 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ..., 罗伯特·德尼罗 Robert De Niro ...,,1984,犯罪 剧情,9.1,,
加勒比海盗, 戈尔·维宾斯基 Gore Verbin, 约翰尼·德普 Johnny Depp / ...,,2003,动作 冒险 奇幻,8.8,,
红辣椒, 今敏 Sato, 林原惠美 Megumi Haya,,2006,动画 悬疑 科幻 惊悚,9.0,,"
梦的勾结。
"
七宗罪, 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布..., 摩根·弗里曼 Morgan Freeman / 布...,,1995,剧情 犯罪 悬疑 惊悚,8.8,,
还有明天, 宝拉·柯特莱西 Paola Cortelle, 宝拉·柯特莱西 Paola Corte...,,2023,剧情 喜剧 历史,9.4,,
唐伯虎点秋香, 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈..., 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,,1993,喜剧 爱情 古装,8.7,,
狩猎, 托马斯·温特伯格 Thoma, 麦斯·米科尔森 Mad,,2012,剧情,9.1,,"
人言可畏。
"
幽灵公主, 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Mat, 松田洋治 Yôji Mat,,1997,动画 奇幻 冒险,8.9,,
甜蜜蜜, 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ..., 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,,1996,剧情 爱情,8.9,,
蝙蝠侠：黑暗骑士崛起, 克里斯托弗·诺兰 Chri, 克里斯蒂安·贝尔 Chri,,2012,剧情 动作 科幻 犯罪 惊悚,8.9,,"
诺兰就是保证。
"
7号房的礼物, 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi..., 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,,2013,剧情 喜剧 家庭,8.9,,"
《我是山姆》的《美丽人生》。
"
寄生虫, 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun..., 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,,2019,剧情,8.8,,
天书奇谭, 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din..., 丁建华 Jianhua Din...,,1983(中国大陆),动画 奇幻,9.2,,
超能陆战队, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chri, 斯科特...,,2014,喜剧 动作 科幻 动画 冒险,8.8,,"
Balalala~~~
"
爱在黎明破晓前, 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ..., 伊桑·霍克 Ethan Hawke ...,,1995,剧情 爱情,8.8,,
第六感, M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi..., 布鲁斯·威利斯 Bruce Wi...,,1999,剧情 悬疑 惊悚,8.9,,
被嫌弃的松子的一生, 中岛哲也 Tet, 中谷美纪 Miki Nakatani / 瑛太 E...,,2006,剧情 歌舞,8.8,,"
以戏谑来戏谑戏谑。
"
爱在日落黄昏时, 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ..., 伊桑·霍克 Ethan Hawke ...,,2004,剧情 爱情,8.9,,"
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
"
重庆森林, 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Take, 林青霞 Brigitte Lin / 金城武 Take,,1994,剧情 爱情,8.8,,
入殓师, 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Ma, 本木雅弘 Ma,,2008,剧情,8.9,,"
死可能是一道门，逝去并不是终结，而是超越，走向下一程。
"
未麻的部屋, 今敏 Sato, 岩男润子 Junko Iwao / 松本梨香 Rica Mat,,1997,剧情 犯罪 动画 悬疑 惊悚,9.1,,
剪刀手爱德华, 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·..., 约翰尼·德普 Johnny Depp / 薇诺娜·...,,1990,剧情 爱情 奇幻,8.7,,
断背山, 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake..., 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,,2005,剧情 爱情 同性 家庭,8.8,,"
每个人心中都有一座断背山。
"
菊次郎的夏天, 北野武 Take, 北野武 Take,,1999,剧情 喜剧,8.9,,
哈利·波特与火焰杯, 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif..., 丹尼尔·雷德克里夫 Daniel Radclif...,,2005,悬疑 奇幻 冒险,8.8,,
茶馆, 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T..., 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,,1982(中国大陆),剧情 历史,9.6,,
借东西的小人阿莉埃蒂, 米林宏昌 Hiroma, 志田未来 Mirai Shida / 神木...,,2010,动画 奇幻 冒险,8.9,,"
曾经的那段美好会沉淀为一辈子的记忆。
"
勇敢的心, 梅尔·吉布森 Mel Gib, 梅尔·吉布森 Mel Gib,,1995,动作 传记 剧情 历史 战争,8.9,,
头脑特工队, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,,2015,喜剧 动画 冒险,8.8,,"
愿我们都不用长大，每一座城堡都能永远存在。
"
时空恋旅人, 理查德·柯蒂斯 Richard Curti, 多姆纳尔·格里森 Domhnall Gl...,,2013,喜剧 爱情 奇幻,8.8,,"
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
"
无人知晓, 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱..., 柳乐优弥 Yûya Yagira / 北浦爱...,,2004,剧情,9.1,,"
我的平常生活就是他人的幸福。
"
消失的爱人, 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙..., 本·阿弗莱克 Ben Affleck / 罗莎蒙...,,2014,剧情 犯罪 悬疑 惊悚,8.7,,"
年度最佳date movie。
"
倩女幽魂, 程小东 Siu-Tung Ching   主演: 张国荣 Le, 张国荣 Le,,1987,爱情 奇幻 武侠 古装,8.8,,
驯龙高手, 迪恩·德布洛斯 Dean DeBloi,...,,2010,动画 奇幻 冒险,8.8,,"
和谐的生活离不开摸头与被摸头。
"
完美的世界, 克林特·伊斯特伍德 Clint Ea, 凯文·科斯特纳 Kevin Co,,1993,剧情 犯罪,9.1,,
阳光灿烂的日子, 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao, 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,,1994,剧情 爱情,8.8,,
花样年华, 王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu..., 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,,2000,剧情 爱情,8.8,,
新世界, 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-, 李政宰 Jung-Jae Lee / 崔岷植 Min-,,2013,剧情 犯罪,8.9,,"
要做就做得狠一点，这样才能活下去。
"
小森林 夏秋篇, 森淳一 Junichi Mori   主演: 桥本爱 Ai Ha, 桥本爱 Ai Ha,,2014,剧情,9.0,,"
那些静得只能听见呼吸的日子里，你明白孤独即生活。
"
天使爱美丽, 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau..., 奥黛丽·塔图 Audrey Tau...,,2001,剧情 喜剧 爱情,8.7,,
傲慢与偏见, 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·..., 凯拉·奈特莉 Keira Knightley / 马修·...,,2005,剧情 爱情,8.7,,"
爱是摈弃傲慢与偏见之后的曙光。
"
一个叫欧维的男人决定去死, 汉内斯·赫尔姆 Hanne, 罗夫·拉斯加德 Rolf La,,2015,剧情,8.9,,"
惠及一生的美丽。
"
侧耳倾听, 近藤喜文 Yo, 本名阳子 Youko Honna / 小林桂树 K...,,1995,剧情 爱情 动画,8.9,,
玩具总动员3, 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hank, 汤姆·汉克斯 Tom Hank,,2010,喜剧 动画 奇幻 冒险,8.9,,"
跨度十五年的欢乐与泪水。
"
怪兽电力公司, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约..., 约...,,2001,儿童 喜剧 动画 奇幻 冒险,8.8,,
教父3, 弗朗西斯·福特·科波拉 Franci, 阿尔·帕西诺 A...,,1990,剧情 犯罪,9.0,,
请以你的名字呼唤我, 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ..., 艾米·汉莫 Armie Hammer / ...,,2017,剧情 爱情 同性,8.8,,"
沉醉在电影的情感和视听氛围中无法自拔。
"
色，戒, 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ..., 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,,2007,剧情 爱情 情色,8.7,,"
假戏真情，爱欲深海
"
幸福终点站, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hank, 汤姆·汉克斯 Tom Hank,,2004,喜剧 剧情 爱情,8.8,,"
有时候幸福需要等一等。 
"
哪吒闹海, 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ..., 梁正晖 Zhenghui ...,,1979,冒险 动画 奇幻,9.2,,
被解救的姜戈, 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /..., 杰米·福克斯 Jamie Foxx /...,,2012,剧情 动作 西部 冒险,8.8,,"
热血沸腾，那个低俗、性感的无耻混蛋又来了。
"
九品芝麻官, 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ..., 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,,1994,剧情 喜剧 古装,8.8,,
小森林 冬春篇, 森淳一 Junichi Mori   主演: 桥本爱 Ai Ha, 桥本爱 Ai Ha,,2015,剧情,9.0,,"
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
"
釜山行, 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马..., 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,,2016,动作 惊悚 灾难,8.6,,"
揭露人性的丧尸题材力作。
"
神偷奶爸, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chri, ...,,2010,喜剧 动画 冒险,8.7,,"
Mr. I Don't Care其实也有Care的时候。
"
萤火之森, 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K..., 佐仓绫音 Ayane Sakura / 内山昂辉 K...,,2011,剧情 爱情 动画 奇幻,8.8,,"
触不到的恋人。
"
喜宴, 李安 Ang Lee   主演: 赵文瑄 Win, 赵文瑄 Win,,1993,剧情 喜剧 爱情 同性 家庭,9.0,,
告白, 中岛哲也 Tet, 松隆子 Takako Mat,,2010,剧情 悬疑,8.8,,"
没有一人完全善，也没有一人完全恶。
"
头号玩家, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri..., 泰伊·谢里丹 Tye Sheri...,,2018,动作 科幻 冒险,8.6,,"
写给影迷，动漫迷和游戏迷的一封情书。
"
玛丽和马克思, 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利..., 托妮·科莱特 Toni Collette / 菲利...,,2009,剧情 喜剧 动画,9.0,,"
你是我最好的朋友，你是我唯一的朋友 。
"
七武士, 黑泽明 Akira Kuro, 三船敏郎 To,,1954,动作 冒险 剧情,9.3,,
模仿游戏, 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C..., 本尼迪克特·康伯巴奇 Benedict C...,,2014,剧情 传记 战争 同性,8.8,,"
他给机器起名“克里斯托弗”，因为这是他初恋的名字。
"
大鱼, 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿..., 伊万·麦克格雷格 Ewan McGregor / 阿...,,2003,剧情 爱情 奇幻 冒险,8.8,,
惊魂记, 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho..., 安东尼·博金斯 Antho...,,1960,悬疑 惊悚 恐怖,9.0,,
射雕英雄传之东成西就, 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri..., 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,,1993,喜剧 奇幻 武侠 古装,8.7,,
血战钢锯岭, 梅尔·吉布森 Mel Gib, 安德鲁·加菲尔德 Andrew Garfield /...,,2016,剧情 传记 历史 战争,8.7,,"
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
"
我是山姆, 杰茜·尼尔森 Je, Sean Penn / Dakota Fanning / Mi...,,2001,剧情 家庭,9.0,,
你的名字。, 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûno, 神木隆之介 Ryûno,,2016,剧情 爱情 动画,8.5,,"
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
"
阳光姐妹淘, 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy..., 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,,2011,剧情 喜剧,8.8,,"
再多各自牛逼的时光，也比不上一起傻逼的岁月。 
"
恐怖直播, 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y..., 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,,2013,剧情 犯罪 悬疑,8.7,,"
恐怖分子的“秋菊打官司”。
"
黑客帝国3：矩阵革命, 拉娜·沃卓斯基 Lana Wachow,,,2003,动作 科幻,8.8,,
背靠背，脸对脸, 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N..., 牛振华 Zhenhua N...,,1994,剧情,9.5,,
心灵奇旅, 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Power, 杰米·...,,2020,动画 奇幻 音乐,8.7,,
电锯惊魂, 詹姆斯·温 Jame, 雷·沃纳尔 Leigh Whannell / 加利·艾...,,2004,悬疑 惊悚 恐怖,8.7,,"
真相就在眼前。
"
三块广告牌, 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France..., 弗兰西斯·麦克多蒙德 France...,,2017,剧情 犯罪,8.7,,"
怼天怼地，你走后，她与世界为敌。
"
小丑, 托德·菲利普斯 Todd Phillip, 杰昆·菲尼克斯 Joaquin Phoeni...,,2019,剧情 犯罪 惊悚,8.7,,
谍影重重3, 保罗·格林格拉斯 Paul Greengra, 马特·达蒙 Matt Damon / ...,,2007,动作 悬疑 惊悚,8.9,,"
像吃了苏打饼一样干脆的电影。
"
达拉斯买家俱乐部, 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon..., 马修·麦康纳 Matthew McCon...,,2013,剧情 传记 同性,8.8,,"
Jared Leto的腿比女人还美！
"
疯狂原始人, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chri,,,2013,喜剧 动画 冒险,8.7,,"
老少皆宜，这就是好莱坞动画的魅力。
"
无间道2, 刘伟强 Andrew Lau / 麦兆辉 Alan Mak   主演: 陈冠希 Edi, 陈冠希 Edi,,2003,剧情 犯罪 惊悚,8.8,,
绿里奇迹, 弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hank, 汤姆·汉克斯 Tom Hank,,1999,犯罪 剧情 奇幻 悬疑,8.9,,
爱在午夜降临前, 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ..., 伊桑·霍克 Ethan Hawke ...,,2013,剧情 爱情,8.9,,"
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
"
海街日记, 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Aya, 绫濑遥 Haruka Aya,,2015,剧情 家庭,8.8,,"
是枝裕和的家庭习作。
"
风之谷, 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y..., 岛本须美 Sumi Shimamoto / 松田洋治 Y...,,1984,动画 奇幻 冒险,8.9,,
上帝之城, 费尔南多·梅里尔斯 Fernando Meirelle,,,2002,犯罪 剧情,9.0,,
疯狂的石头, 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,,2006,喜剧 犯罪,8.6,,"
中国版《两杆大烟枪》。
"
英雄本色, 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国..., 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,,1986,剧情 动作 犯罪,8.6,,
雨中曲, 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·..., 吉恩·...,,1952,喜剧 歌舞 爱情,9.1,,
