电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
花束般的恋爱, 土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Ma, 菅田将晖 Ma,,2021,剧情 爱情,8.6,,
爱乐之城, 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Go, 瑞恩·高斯林 Ryan Go,,2016,剧情 爱情 歌舞,8.4,,
白日梦想家, 本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·..., 本·斯蒂勒 Ben Stiller / 克里斯汀·...,,2013,剧情 喜剧 冒险,8.6,,
黑天鹅, 达伦·阿罗诺夫斯基 Darren Aronof, 娜塔莉·波特曼 Natalie...,,2010,剧情 惊悚,8.6,,"
黑暗之美。
"
青蛇, 徐克 Hark T, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,,1993,剧情 爱情 奇幻 古装,8.6,,
哈利·波特与死亡圣器(上), 大卫·叶茨 David Yate, 丹尼尔·雷德克里夫 Daniel Radcliffe...,,2010,奇幻 冒险,8.6,,"
最忠于原著的一部。
"
终结者2：审判日, 詹姆斯·卡梅隆 Jame, 阿诺·施瓦辛格 Arnold Schwarz...,,1991,动作 科幻,8.8,,
初恋这件小事, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Prom,,,2010,剧情 喜剧 爱情,8.5,,"
黑小鸭速效美白记。
"
无耻混蛋, 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / ..., 布拉德·皮特 Brad Pitt / ...,,2009,剧情 犯罪,8.7,,"
昆汀同学越来越变态了，比北野武还杜琪峰。
"
新龙门客栈, 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ..., 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,,1992,动作 爱情 武侠 古装,8.7,,
雨人, 巴瑞·莱文森 Barry Levin, 达斯汀·霍夫曼 Du,,1988,剧情,8.7,,
人工智能, 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley..., 海利·乔·奥斯蒙 Haley...,,2001,剧情 科幻,8.7,,
虎口脱险, 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Loui, 路易·德·菲耐斯 Loui,,1966,喜剧 战争,8.9,,
大红灯笼高高挂, 张艺谋 Yimou Zhang   主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛..., 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,,1991,剧情,8.8,,
